ID,lng,lat
"996",139.865,35.885
"997",139.865,35.895
"998",139.865,35.905
"999",139.865,35.915
"1000",139.865,35.925
"1001",139.865,35.935
"1002",139.865,35.945
"1003",139.865,35.955
"1004",139.865,35.965
"1005",139.865,35.975
"1006",139.865,35.985
"1007",139.865,35.995
"1008",139.865,36.005
"1009",139.865,36.015
"1010",139.865,36.025
"1011",139.865,36.035
"1012",139.865,36.045
"1013",139.865,36.055
"1014",139.865,36.065
"1015",139.865,36.075
"1016",139.875,35.735
"1017",139.875,35.745
"1018",139.875,35.755
"1019",139.875,35.765
"1020",139.875,35.775
"1021",139.875,35.785
"1022",139.875,35.795
"1023",139.875,35.805
"1024",139.875,35.815
"1025",139.875,35.825
"1026",139.875,35.835
"1027",139.875,35.845
"1028",139.875,35.855
"1029",139.875,35.865
"1030",139.875,35.875
"1031",139.875,35.885
"1032",139.875,35.895
"1033",139.875,35.905
"1034",139.875,35.915
"1035",139.875,35.925
"1036",139.875,35.935
"1037",139.875,35.945
"1038",139.875,35.955
"1039",139.875,35.965
"1040",139.875,35.975
"1041",139.875,35.985
"1042",139.875,35.995
"1043",139.875,36.005
"1044",139.875,36.015
"1045",139.875,36.025
"1046",139.875,36.035
"1047",139.875,36.045
"1048",139.875,36.055
"1049",139.875,36.065
"1050",139.875,36.075
"1051",139.885,35.735
"1052",139.885,35.745
"1053",139.885,35.755
"1054",139.885,35.765
"1055",139.885,35.775
"1056",139.885,35.785
"1057",139.885,35.795
"1058",139.885,35.805
"1059",139.885,35.815
"1060",139.885,35.825
"1061",139.885,35.835
"1062",139.885,35.845
"1063",139.885,35.855
"1064",139.885,35.865
"1065",139.885,35.875
"1066",139.885,35.885
"1067",139.885,35.895
"1068",139.885,35.905
"1069",139.885,35.915
"1070",139.885,35.925
"1071",139.885,35.935
"1072",139.885,35.945
"1073",139.885,35.955
"1074",139.885,35.965
"1075",139.885,35.975
"1076",139.885,35.985
"1077",139.885,35.995
"1078",139.885,36.005
"1079",139.885,36.015
"1080",139.885,36.025
"1081",139.885,36.035
"1082",139.885,36.045
"1083",139.885,36.055
"1084",139.885,36.065
